Field,NO3,NH4,P,K,SO4-S,B,OM,pH,EC,Zn,Mn,Cu,Fe,Ca,Mg,Na,Efferve,Total,TKN,Total,Total,C:N,Sand,Silt,Clay,Soil
0Burn-W1.1,0.3,12.8,13,161,11,0.01,8.14,5.9,0.12,1.3,34.8,0.5,69,2.7,0.6,0.06,None,3.71,0.191,0.191,4.87,25.497,80.8,18.8,0.4,Loamy Sand
0Burn-W1.2,1.7,9,9,75,12,0.05,6.4,6,0.09,0.5,24.9,0.6,47,1.2,0.3,0.03,None,1.69,0.171,0.171,4.376,25.591,,,,
0Burn-W1.3,2.1,8.4,8,88,13,0.05,9.14,6,0.08,0.4,19.2,0.5,58,1.1,0.3,0.04,None,1.66,0.175,0.175,4.884,27.909,,,,
0Burn-W2.1,1.3,9.7,7,89,7,0.04,6.78,6.1,0.1,0.4,20.2,0.5,32,2,0.3,0.03,None,2.61,0.184,0.184,5.155,28.016,80.8,18.8,0.4,Loamy Sand
0Burn-W2.2,1,7.2,8,86,5,0.02,7.32,6.2,0.08,0.2,14.2,0.4,29,1.7,0.4,0.05,None,2.36,0.152,0.152,4.13,27.171,,,,
0Burn-W2.3,1.7,7.4,8,102,6,0.07,5.12,6.2,0.08,0.2,13.6,0.4,26,1.8,0.3,0.03,None,2.42,0.163,0.163,3.824,23.46,,,,
1Burn-W3.1,2.1,5.4,10,68,12,0.09,4.87,6.3,0.09,0.1,9.8,0.7,15,2.3,0.3,0.05,None,2.79,0.096,0.096,2.514,26.188,82.8,16.8,0.4,Loamy Sand
1Burn-W3.2,1.5,4.6,6,55,12,0.07,4.91,6.4,1.12,0.1,10.6,0.7,17,1.8,0.3,0.03,None,2.24,0.1,0.1,2.417,24.17,,,,
1Burn-W3.3,1.5,4.9,6,62,10,0.05,5.77,6.4,0.04,0.1,9.9,0.6,14,2,0.3,0.04,None,2.49,0.101,0.101,3.152,31.208,,,,
1Burn-W4.1,4.4,12.8,8,81,11,0.05,6.51,6,0.02,0.4,14.9,0.7,20,1.8,0.4,0.07,None,2.41,0.158,0.158,3.675,23.259,88.8,10.8,0.4,Sand
1Burn-W4.2,3.3,10.5,9,69,10,0.05,5.79,6,0.04,0.3,11.5,0.7,20,1.4,0.3,0.06,None,1.93,0.145,0.145,3.843,26.503,,,,
1Burn-W4.3,4.8,8,8,67,8,0.05,5.63,6,0.04,0.3,10.2,0.8,22,1.3,0.3,0.04,None,1.75,0.006,0.006,0.011,1.833,,,,
3Burn-W5.1,13.4,7.2,7,75,4,0.15,6.04,6.3,0.1,0.7,14.7,0.9,23,4.3,0.5,0.05,None,5,0.213,0.214,3.754,17.542,86.8,10.8,2.4,Sand
3Burn-W5.2,13.3,6.8,7,83,5,0.17,7.35,6.3,0.12,0.8,13.8,0.8,23,5.2,0.5,0.04,None,5.94,0.236,0.237,4.219,17.802,,,,
3Burn-W5.3,16.9,7.5,7,88,4,0.14,7.83,6.3,0.12,1.1,18.2,0.8,23,5.4,0.7,0.06,None,6.29,0.269,0.271,4.622,17.055,,,,
3Burn-W6.1,8.6,5.6,7,58,4,0.11,5.05,5.8,0.04,0.6,7.4,0.6,21,2.2,0.3,0.05,None,2.68,0.179,0.18,3.707,20.594,90.8,8.8,0.4,Sand
3Burn-W6.2,11.8,6.7,7,60,5,0.14,5.9,6,0.08,0.8,10.8,0.9,23,3.7,0.5,0.04,None,4.32,0.135,0.136,2.4,17.647,,,,
3Burn-W6.3,5.2,6.3,9,60,5,0.06,6.06,5.4,0.04,0.8,12.5,0.8,25,2.7,0.4,0.05,None,3.24,0.156,0.157,4.1,26.115,,,,
Sterile-Mixed.1,0.9,6.3,5,22,5,0.04,2.69,5.8,0.04,0.1,19.1,0.3,7,1.2,0.2,0.03,None,1.44,0.042,0.042,1.315,31.31,96.8,2.8,0.4,Sand
Sterile-Mixed.2,2.4,4.7,5,19,5,0.04,1.85,5.9,0.06,0.1,21.4,0.2,7,1.1,0.2,0.03,None,1.34,0.049,0.049,1.31,26.735,,,,
Sterile-Mixed.3,2.2,4.9,6,19,5,0.04,2.9,5.9,0.04,0.1,20.4,0.2,7,1.2,0.2,0.02,None,1.45,0.034,0.034,0.92,27.059,,,,
Sterile-Unmixed.1,3.6,32.5,6,86,12,0.06,7.36,5.6,0.18,0.4,109.2,0.9,24,2,0.4,0.12,None,2.68,0.167,0.167,3.698,22.144,80.8,18.8,0.4,Loamy Sand
Sterile-Unmixed.2,2.9,32.9,9,86,12,0.03,8.8,5.6,0.14,0.4,101.1,0.8,21,1.9,0.4,0.11,None,2.59,0.169,0.169,3.694,21.858,,,,
Sterile-Unmixed.3,2.7,33.3,6,85,12,0.03,5.35,5.6,0.2,0.4,108.5,0.8,23,1.9,0.4,0.11,None,2.6,0.201,0.201,4.966,24.706,,,,